
title,price,image
"Ноутбук Lenovo V15 G4 AMN Business Black AMD Athlon™ Silver 7120U (up to 3.5Ghz), 8GB, 256GB M.2 SSD, Integrated AMD Radeon™ 610M Graphics, 15.6"" FHD (1920x1080), LAN, WiFi, BT, Cam, DOS [82YU0044AK]",26727 Сом,https://enter.kg//images/stories/virtuemart/product/777777_5194.jpeg
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 4GB, 256GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",26827 Сом,https://enter.kg//images/stories/virtuemart/product/1_3421_5321.jpg
"Lenovo Ideapad 3 15ADA6 Arctic Grey AMD 3020e (up to 2.6Ghz), 4GB, 1TB, AMD Radeon™ Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",27027 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_1334.jpg
"Lenovo Ideapad 3 15ADA6 Arctic Grey AMD 3020e (up to 2.6Ghz), 4GB, 256GB SSD, AMD Radeon™ Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, Cam, DOS, Eng-Rus Заводская Клавиатура",27027 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_6982.jpg
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 8GB, 128GB SSD, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",27127 Сом,https://enter.kg//images/stories/virtuemart/product/2(1)_2738_5029.jpg
"Ноутбук Lenovo V15 G2 IJL Intel N4500 (up to 2.8Ghz), 8GB, 500GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus, Black [82QY00PHAK]",27227 Сом,https://enter.kg//images/stories/virtuemart/product/77_6413.png
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 8GB, 500GB HDD, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",27327 Сом,https://enter.kg//images/stories/virtuemart/product/777777_5361.jpeg
"Acer Aspire A315-35 Silver Intel N4500 (up to 2.8Ghz), 4GB, 500GB, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",27327 Сом,https://enter.kg//images/stories/virtuemart/product/2_2621.jpg
"HP 15-dw1495nia (6J5C0EA) N4120 Quadcore 1.1-2.6GHz,4GB,SSD 480GB,15.6"" HD,RU, BLACK",27327 Сом,https://enter.kg//images/stories/virtuemart/product/2_8078.jpg
"Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 8GB, 1TB HDD, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus",27528 Сом,https://enter.kg//images/stories/virtuemart/product/777777_3092.jpeg
